Licence No.,Premises Name,Premises Address,場所名稱,場所地址,Premises Phone No.,Premises Fax No.,Premises Email Address
H/3441,PARIS GUEST HOUSE,"Flat D8, Block D,7/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",PARIS GUEST HOUSE,九龍尖沙咀彌敦道40號重慶大廈D座7字樓D8室,9468 6479,,hostelhk@hotmail.com
H/3454,FU KEE HORIZON RESORT,"Flat B, 1/F,Block 16, Bela Vista Villa,DD CC 1491, Cheung Chau.",富記度假村,長洲長洲地段第1491號東堤小築16座1字樓B室,2981 0093,2981 0603,ccfukee@gmail.com
H/3459,ASIA HOUSE,"Flat A & B, 6/F, Asia Mansions,390 - 394 King's Road,North Point, Hong Kong.",亞洲賓館,香港北角英皇道390-394號亞洲大廈6字樓A&B室,2570 4381,,
H/3465,LI'S CHAIN HOSTEL,"Flat A4, Block A,3/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",李氏連鎖賓館,九龍尖沙咀彌敦道40號重慶大廈A座3字樓A4室,9468 6479,,hostelhk＠hotmail.com
H/3467,BALI HOLIDAY RESORT,"1/F, 7 Yung Shue Wan Main Street,Lamma Island.",優閒渡假屋,南丫島榕樹灣大街7號1字樓,2982 4580,2982 1044,bali@netvigator.com
H/3470,TUNG FONG INTERNATIONAL CO,"Flat B, 3/F, Woosung House,127 Woosung Street,Jordan, Kowloon.",東方國際公司,九龍佐敦吳松街127號吳淞大樓3字樓B室,2771 9046,,pumpklin006@gmail.com
H/3474,"HONG KONG CO-LIVING SPACE , KOWLOON YOUTH VILLAGE","Flat A1 & A2, Block A,3/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",香港共居空間，九龍青年公寓,九龍尖沙咀彌敦道40號重慶大廈A座3字樓A1&A2室,6468 6479,,hostelhk@hotmail.com
H/3487,WEE CLASSIC INN,"Flat F1, 8/F, Block F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",微經典客棧,九龍尖沙咀彌敦道58號美麗都大廈F座8字樓F1室,2311 2520,,flamebirddevelopment@gmail.com
H/3491,TEMPO INN-COZY,"Flat B, 4/F, National Court,242 Nathan Road, Jordan,Kowloon.",樂棧－舒適館,九龍佐敦彌敦道242號立信大廈4字樓B室,6212 4550,,
H/3496,OCEAN INN,"Flat L, 11/F, New Lucky House,15 Jordan Road, Jordan, Kowloon.",大洋旅店,九龍佐敦佐敦道15號華豐大廈11字樓L室,2385 0125,,ocean.inn.hk@gmail.com
H/3499,BEST GUEST HOUSE,"Flat A,B,C, 4/F, Pak Lok Building,322-326A Nathan Road, Jordan,Kowloon.",百樂賓舘,九龍佐敦彌敦道322-326A號百樂大廈4字樓A、B、C室,,,
H/3501,LONDON GUEST HOUSE,"Flat F2, Block F,13/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",LONDON GUEST HOUSE,九龍尖沙咀彌敦道58號美麗都大廈F座13字樓F2室,6644 3016,,paylessa2@gmail.com
H/3511,AH SHAN HOSTEL DRAGON INN,"Flat 1017, 10/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",阿山龍祥旅館,九龍旺角亞皆老街83號先施大廈10字樓1017室,9533 6817,,ahshanhostelhk@gmail.com
H/3523,迎君旅館,"Flat B1, 5/F, Block B, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",迎君旅館,九龍尖沙咀彌敦道58號美麗都大廈B座5字樓B1室,2367 2909,,
H/3529,NEW SUPER GUEST HOUSE,"Flat A2, Block A,17/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",新超級賓舘,九龍尖沙咀彌敦道40號重慶大廈A座17字樓A2室,2723 4817,,
H/3537,BELLAGIO PET FRIENDLY RESORT,"26 Hung Shing Yeh Beach,Yung Shue Wan, Lamma Island.",碧海軒,南丫島榕樹灣洪聖爺灣泳灘26號,2982 1668,2982 0022,booking@concertoinn.com.hk
H/3538,WINLAND 800 HOTEL,"1 Tsing Yi Road, Tsing Yi, New Territories.",永倫800酒店,新界青衣青衣路1號,,,
H/3540,"DORSETT WANCHAI, HONG KONG","387 Queen's Road East,Wan Chai, Hong Kong.",香港灣仔帝盛酒店,香港灣仔皇后大道東387號,3552 1111,3552 1122,gm.wanchai@dorsetthotels.com
H/3541,新永春賓館,"Flat E, 13/F, New Lucky House,15 Jordan Road, Jordan, Kowloon.",新永春賓館,九龍佐敦佐敦道15號華豐大廈13字樓E室,5483 3336,,
H/3550,SINGH GUESTHOUSE,"Flat D7, 7/F, Block D, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",SINGH GUESTHOUSE,九龍尖沙咀彌敦道40號重慶大廈D座7字樓D7室,9619 5771,,hostelhk@hotmail.com
H/3551,DISNEY'S HOLLYWOOD HOTEL,"Hong Kong Disneyland Resort,Lantau Island.",迪士尼好萊塢酒店,大嶼山香港迪士尼樂園,3510 5000,3550 3151,
H/3556,THE GRAND BLOSSOM II,"32/F, Grand Blossom House,123 Bulkeley Street, Hung Hom,Kowloon.",THE GRAND BLOSSOM II,九龍紅磡寶其利街123號盈采華庭32字樓,2142 0332,,
H/3557,APPLE HOSTEL,"Flat B3, Block B,10/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",蘋菓賓館,九龍尖沙咀彌敦道40號重慶大廈B座10字樓B3室,2803 5418,,applehostelhk@yahoo.com.hk
H/3558,APPLE HOSTEL,"Flat B4, 10/F, Block B, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",蘋果賓館,九龍尖沙咀彌敦道40號重慶大廈B座10字樓B4室,2803 5418,,applehostelhk@yahoo.com.hk
H/3560,APPLE HOSTEL,"Flat B7, Block B & Flat C1, Block C,10/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",蘋果賓館,九龍尖沙咀彌敦道40號重慶大廈10字樓B座B7室&C座C1室,2803 5418,,applehostelhk@yahoo.com.hk
H/3561,KOWLOON T.S.T. GUEST HOUSE,"Flat B4, 11/F, Block B, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",九龍尖沙咀賓館,九龍尖沙咀彌敦道40號重慶大廈B座11字樓B4室,6288 1666,,uihotel@gmail.com
H/3564,RAMBLER GARDEN HOTEL,"Rambler Garden Hotel,1 Tsing Yi Road,Tsing Yi, New Territories.",華逸酒店,新界青衣青衣路1號華逸酒店,2129 9988,2129 9933,enquiry.garden@ramblerhotels.com
H/3565,OOOTOPIA,"3/F, 14-18 Sung Wong Toi Road,Kowloon City, Kowloon.",OOOTOPIA,九龍九龍城宋皇臺道14-18號3字樓,5223 5665,,sales@oootopia.com
H/3567,HUNG FAI GUEST HOUSE,"Flat 3, 13/F, Alhambra Building,385 Nathan Road, Yau Ma Tei,Kowloon.",鴻輝賓館,九龍油麻地彌敦道385號平安大樓13字樓3室,3583 1920,,hungfai66@yahoo.com.hk
H/3569,TIN TIN GUEST HOUSE,"Flat 1517, 15/F, Sun Hing Building,607 Nathan Road,Mong Kok, Kowloon.",天天賓館,九龍旺角彌敦道607號新興大廈15字樓1517室,,,
H/3574,ASIA TRAVEL HOUSE,"Flat 12A, 5/F, Alhambra Building,385 Nathan Road, Yau Ma Tei,Kowloon.",亞洲旅遊賓館,九龍油麻地彌敦道385號平安大樓5字樓12A室,2770 8300,,asiatravelhouse@netvigator.com
H/3583,BEAR BEAR INN,"Flat 580, 7/F, Hang Lung Mansion,578-580 Nathan Road,Yau Ma Tei, Kowloon.",小熊旅舍,九龍油麻地彌敦道578-580號恒隆大廈7字樓580室,6253 5600,,
H/3585,OI SUEN GUEST HOUSE,"Flat 811-812, 8/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",靄旋賓館,九龍旺角亞皆老街83號先施大廈8字樓811-812室,2398 0636,,oisuen814@gmail.com
H/3591,WEAVE STUDIOS OLYMPIC,"46-48 Anchor Street,Tai Kok Tsui, Kowloon.",WEAVE STUDIOS OLYMPIC,九龍大角咀晏架街46-48號,6361 4621,,pfm.ol@weave-living.com
H/3592,PEARL GUEST HOUSE,"Flat A9, 6/F, Block A, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",真珠賓館,九龍尖沙咀彌敦道58號美麗都大廈A座6字樓A9室,2398 0636,,oisuen814@gmail.com
H/3597,HONG KONG DISNEYLAND HOTEL,"Hong Kong Disneyland Hotel,Hong Kong Disneyland Resort,Lantau Island.",香港迪士尼樂園酒店,大嶼山香港迪士尼樂園香港迪士尼樂園酒店,3510 6000,3550 3151,
H/3609,CAPITAL GUEST HOUSE,"Flat F3, 9/F, Block F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",長安賓館,九龍尖沙咀彌敦道58號美麗都大廈F座9字樓F3室,6763 6265,,
H/3614,I-HOUSE,"Flat A, 6/F, Harilela Mansion,81 Nathan Road, Tsim Sha Tsui,Kowloon.",我的宅舍,九龍尖沙咀彌敦道81號喜利大廈6字樓A室,,,
H/3622,"SILKA FAR EAST HOTEL, HONG KONG","Portions of 1/F-3/F, 5/F-12/F & 15/F-17/F,135-143 Castle Peak Road,Tsuen Wan, New Territories.",香港遠東絲麗酒店,新界荃灣青山公路荃灣段135-143號1字樓(部份)-3字樓、5-12 & 15-17字樓,2406 9090,3657 2828,info.fareast@silkahotels.com
H/3624,COSMIC GUEST HOUSE,"Flat E1, Block E,12/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",宇宙賓館,九龍尖沙咀彌敦道58號美麗都大廈E座12字樓E1室,2369 6669,2311 5260,laucosmicgh@gmail.com
H/3631,WHERE INN,"Flat 40P, 4/F, Wing Wah Building,40P Shantung Street, Mong Kok,Kowloon.",WHERE INN,九龍旺角山東街40P號榮華大樓4字樓40P室,9196 3720,,toling626@gmail.com
H/3633,THE GRAND BLOSSOM I,"30/F, Grand Blossom House, 123 Bulkeley Street, Hung Hom,Kowloon.",THE GRAND BLOSSOM I,九龍紅磡寶其利街123號盈采華庭30字樓,2142 0332,,
H/3635,THE LANDMARK MANDARIN ORIENTAL,"G/F, 1/F, 2-4/F (Portion), 5-15/F & 16/F (Portion)Edinburgh Tower,15 Queen's Road Central, Central, Hong Kong.",THE LANDMARK MANDARIN ORIENTAL,香港中環皇后大道中15號公爵大廈地下、1字樓、2-4字樓(部分)、5-15字樓 & 16字樓(部分),2132 0188,2132 0199,
H/3642,SIMPLY GUEST HOUSE,"Flat 501, 5/F, Sincere House,83 Argyle Street,Mong Kok, Kowloon.",便利賓館,九龍旺角亞皆老街83號先施大廈5字樓501室,6895 1012,,
H/3643,OOOTOPIA,"7/F, 14-18 Sung Wong Toi Road,Kowloon City, Kowloon.",OOOTOPIA,九龍九龍城宋皇臺道14-18號7字樓,5223 5665,,living@oootopia.com
H/3644,LOOP AD LIMITED,"Front Block, 8/F, Granville Building,12 Granville Road, Tsim Sha Tsui,Kowloon.",LOOP AD LIMITED,九龍尖沙咀加連威老道12號加連威大廈8字樓前座,2739 1673,2311 2252,hktaisan@gmail.com
H/3646,OOOTOPIA,"5/F, 14-18 Sung Wong Toi Road,Kowloon City, Kowloon.",OOOTOPIA,九龍九龍城宋皇臺道14-18號5字樓,5223 5665,,sales@oootopia.com
H/3656,J LINK HOTEL,"G/F(Portion) & 1/F-R/F (4/F, 14/F&24/F omitted),11 Morrison Hill Road, Wan Chai, Hong Kong.",君儷酒店,香港灣仔摩理臣山道11號地下(部份)& 1字樓-天台(4、14&24字樓除外),3168 5995,3797 2589,info@jlinkhotel.com
H/3657,COSMO HOTEL,"Gold & Silver Tower,375 Queen's Road East,Wan Chai, Hong Kong.",麗悅酒店,香港灣仔皇后大道東375 號金銀大廈,3552 8388,3552 8398,welcome@cosmohotel.com.hk
H/3659,GOOD LUCKY INN,"Flat 20A & 22, 7/F, Wing Wah Building,14-24 Sai Yeung Choi Street South,Mong Kok, Kowloon.",鴻運旅店,九龍旺角西洋菜南街14-24號榮華大樓7字樓20A&22室,2384 7417,,
H/3674,RAI LYYEE HOSTEL,"Flat B, 4/F, Rex Building,648 - 652 Nathan Road,Mong Kok, Kowloon.",威利萊賓館,九龍旺角彌敦道648-652號皇上皇大廈4字樓B室,2393 9090,2393 9094,raileihotel@gmail.com
H/3679,EAST POINT,"9/F-11/F, 92 Hak Po Street,Mong Kok, Kowloon.",東匯,九龍旺角黑布街92號9-11字樓,6898 2668,,terry_9271@yahoo.com.hk
H/3680,EAST POINT,"1/F-4/F, 92 Hak Po Street,Mong Kok, Kowloon.",東匯,九龍旺角黑布街92號1-4字樓,6898 2668,,terry_9371@yahoo.com.hk
H/3681,EAST POINT,"5/F-8/F, 92 Hak Po Street,Mong Kok, Kowloon.",東匯,九龍旺角黑布街92號5-8字樓,6898 2668,,terry_9371@yahoo.com.hk
H/3682,EXOTIC WIND VILLA,"G/F, 3 Essex Crescent,Kowloon Tong, Kowloon.",異國風閒休,九龍九龍塘雅息士道3號地下,2338 6222,,bthotelltd@gmail.com
H/3684,BOUTIQUE VILLA,"1/F, 3 Essex Crescent,Kowloon Tong, Kowloon.",金威閒休,九龍九龍塘雅息士道3號1字樓,2338 6222,,bthotelltd@gmail.com
H/3690,KINWA GUEST HOUSE,"Flat 1010, 10/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",景華賓館,九龍旺角亞皆老街83號先施大廈10字樓1010室,9493 0207,,
H/3691,HENNESSY HOTEL,"4/F-23/F,353-355 Hennessy Road,Wan Chai, Hong Kong.",軒尼斯酒店,香港灣仔軒尼詩道353-355號4-23字樓,2955 5422,2816 0723,
H/3697,YONG LI BIN GUAN,"Flat 18, 11/F, Alhambra Building,385 Nathan Road, Yau Ma Tei, Kowloon.",永利賓館,九龍油麻地彌敦道385號平安大樓11字樓18室,5122 1718,,song51221718@icloud.com
H/3699,WING LEE GUEST HOUSE,"Flat D2, Block D,10/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",永利旅舘,九龍尖沙咀彌敦道58號美麗都大廈D座10字樓D2室,2366 5630,2368 5835,
H/3702,BALI HOLIDAY RESORT,"1/F, 8 Yung Shue Wan Main Street,Lamma Island.",優閒渡假屋,南丫島榕樹灣大街8號1字樓,2982 4580,2982 1044,bali@netvigator.com
H/3703,THE FLEMING,"41 Fleming Road,Wan Chai, Hong Kong.",芬名酒店,香港灣仔菲林明道41號,3607 2288,3607 2299,info@thefleming.com
H/3710,NINA HOTEL CAUSEWAY BAY,"B/F, G/F, 1/F, 2/F, 3/F, 5/F, 6/F, 7/F, 8/F to 12/F, 15/F to 23/F, 25/F to 33/F, 35/F to 40/F, 18 King's Road,Causeway Bay, Hong Kong.",銅鑼灣如心酒店,"香港銅鑼灣英皇道18號地庫,地下,1字樓,2字樓,3字樓,5字樓,6字樓,7字樓,8至12字樓,15至23字樓,25至33字樓,35至40字樓",3553 2898,3553 2888,info.cwb@ninahotelgroup.com
H/3713,"CORDIS, HONG KONG","555 Shanghai Street,Mong Kok, Kowloon.",香港康得思酒店,九龍旺角上海街555號,3552 3388,3552 3688,cdhkg.info@cordishotels.com
H/3721,PHILIP TOU,"Flat A, 1/F,Block 16, Bela Vista Villa,DD CC 1491, Cheung Chau.",PHILIP TOU,長洲長洲地段第1491號東堤小築16座1字樓A室,,2817 7718,
H/3723,FOUR SEASONS GUESTHOUSE,"Flat C3, Block C,5/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",四季旅館,九龍尖沙咀彌敦道58號美麗都大廈C座5字樓C3室,2368 1083,,
H/3731,FONG CHE HO HAU SUMMER HOUSE,"Flat D, 1/F,Block 12, Bela Vista Villa,DD CC 1491, Cheung Chau.",芳姐可口渡假屋,長洲長洲地段第1491號東堤小築12座1字樓D室,,,
H/3734,FU SHING HOSTEL,"1/F, Yan Hong Mansion,45-47 Fa Yuen Street, Mong Kok,Kowloon.",富城旅館,九龍旺角花園街45-47號仁康大廈1字樓,,,
H/3737,CARITAS OSWALD CHEUNG INTERNATIONAL HOUSE,"8/F-24/F, Caritas Aberdeen Social Centre,20 Tin Wan Street, Aberdeen, Hong Kong.",明愛張奧偉國際賓館,香港香港仔田灣街20號香港仔明愛服務中心8-24字樓,2903 0111,2903 0101,cocih@chs.caritas.org.hk
H/3744,SEAVIEW HOLIDAY HOUSE,"Flat B, G/F,Block 11, Bela Vista Villa,DD CC 1491, Cheung Chau.",海景渡假屋,長洲長洲地段第1491號東堤小築11座地下B室,2986 9368,,
H/3748,STAR GUEST HOUSE,"Flat B1, 15/F, Block B, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",星光賓館,九龍尖沙咀彌敦道40號重慶大廈B座15字樓B1室,,,
H/3749,EVER FORTUNE GUEST HOUSE,"Flat B, 4/F, Kingland Apartments,739 Nathan Road, Mong Kok, Kowloon.",新橋賓館,九龍旺角彌敦道739號金輪大廈4字樓B室,2543 2919,,
H/3751,TRAVEL FREELY HOUSE,"Flat A & B, 12/F, Chak Fung House,440-442A Nathan Road, Yau Ma Tei,Kowloon.",自由行賓舘,九龍油麻地彌敦道440-442A號澤豐大廈12字樓A&B室,9276 6088,,
H/3752,SILVERVIEW RESORT HOLIDAY,"1/F & 2/F, Block 19, Silverview Centre,8 Ngan Kwong Wan Road,Mui Wo, Lantau Island.",銀景渡假中心,大嶼山梅窩銀礦灣路8號銀景中心第19座1&2字樓,2984 8081,2984 8112,
H/3756,SILVERVIEW RESORT HOLIDAY,"1/F & 2/F, Block 20, Silverview Centre,8 Ngan Kwong Wan Road,Mui Wo, Lantau Island.",銀景渡假中心,大嶼山梅窩銀礦灣路8號銀景中心第20座1&2字樓,2984 8081,2984 8112,
H/3762,CITY PLUS HOSTEL,"Flat 15, 14/F, Sincere House,83 Argyle Street,Mong Kok, Kowloon.",城市賓館,九龍旺角亞皆老街83號先施大廈14字樓15室,3167 9915,3167 9914,cityplushostel@yahoo.com
H/3766,IBIS NORTH POINT,"136-144 Java Road,North Point, Hong Kong.",宜必思香港北角酒店,香港北角渣華道136-144號,2588 1111,2588 1123,h3563@accor.com
H/3770,NOVOTEL CITYGATE HONG KONG,"G/F (Portion), 1/F(Portion), 2/F(Portion),3/F(Portion), 5/F-12/F & 15/F-Top R/F,51 Man Tung Road, Tung Chung, Lantau Island.",諾富特東薈城酒店,大嶼山東涌文東路51號地下(部份)、1字樓(部份)、2字樓(部份)、3字樓(部份)、5-12 & 15字樓-天台頂層,3602 8888,3602 8899,tess.hui@accor.com
H/3782,ASTRONAUT HOSTEL,"Flat B, 13/F, Kingland Apartments,739 Nathan Road, Mong Kok,Kowloon.",航天賓館,九龍旺角彌敦道739號金輪大廈13字樓B室,9236 0897,,miley0822@gmail.com
H/3783,GOLDEN ISLAND HOSTEL,"Flat 2, 7/F, Alhambra Building,385 Nathan Road, Yau Ma Tei,Kowloon.",金島旅舘,九龍油麻地彌敦道385號平安大樓7字樓2室,2783 7952,2710 8821,
H/3788,CULTURE HOMES (FU YIN APARTMENTS),"3/F, 5 Wing Sing Lane,Yau Ma Tei, Kowloon.",文化村(富賢居),九龍油麻地永星里5號3字樓,,,
H/3792,WA BOU GUEST HOUSE,"Flat F, 4/F, New Lucky House,15 Jordan Road, Jordan, Kowloon.",華寶賓館,九龍佐敦佐敦道15號華豐大廈4字樓F室,2770 9323,,
H/3793,自由行賓館,"Flat 502, 5/F, Sincere House,83 Argyle Street, Mong Kok,Kowloon.",自由行賓館,九龍旺角亞皆老街83號先施大廈5字樓502室,5931 0906,,
H/3795,365 MODERN HOSTEL,"Flat D3, 7/F, Block D, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",365 商務賓館,九龍尖沙咀彌敦道40號重慶大廈D座7字樓D3室,9619 5771,,hostelhk@hotmail.com
H/3798,WELCOME GUEST HOUSE,"Flat A5, 6/F, Block A, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",惠康賓館,九龍尖沙咀彌敦道40號重慶大廈A座6字樓A5室,6743 0363,,
H/3799,LAN KWAI FONG HOTEL,"3 Kau U Fong,Central, Hong Kong.",LAN KWAI FONG HOTEL,香港中環九如坊3號,3650 0000,3650 0088,enquiry@lankwaifonghotel.com.hk
H/3802,ORIENTAL PEARL KOWLOON BUDGET HOSTEL,"Flat D7 & E1, Block D & E,11/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",東方明珠九龍經濟旅館,九龍尖沙咀彌敦道40號重慶大廈D座11字樓D7室&E座11字樓E1室,9468 6479,,hostelhk＠hotmail.com
H/3804,RAILEI HOSTEL,"Flat A, 4/F, Rex Building,648-652 Nathan Road,Mong Kok, Kowloon.",威利萊賓館,九龍旺角彌敦道648-652號皇上皇大廈4字樓A室,2393 9090,2393 9094,raileihotel@gmail.com
H/3806,FOUR SEASONS GUEST HOUSE,"Flat B3, 8/F, Block B, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",四季賓館,九龍尖沙咀彌敦道40號重慶大廈B座8字樓B3室,9121 8072,,
H/3807,BEST WESTERN PLUS HOTEL HONG KONG,"308 Des Voeux Road West,Sai Ying Pun, Hong Kong.",華大盛品酒店,香港西營盤德輔道西308號,3410 3333,2559 8499,hotel@bestwesternplushotel.com
H/3808,BRIDAL TEA HOUSE HOTEL,"Rich Fortune Commercial Building,6 Arthur Street,Yau Ma Tei, Kowloon.",紅茶館酒店,九龍油麻地鴉打街6號富達商業大廈,,,
H/3809,NEW HOLLYWOOD GUESTHOUSE,"Flat B2, 8/F, Block B, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",新荷李活賓館,九龍尖沙咀彌敦道40號重慶大廈B座8字樓B2室,2732 2155,2724 5071,
H/3811,WEAVE STUDIOS PRINCE EDWARD,"5/F-7/F, 36 Boundary Street,Sham Shui Po, Kowloon.",WEAVE STUDIOS PRINCE EDWARD,九龍深水界限街36號5-7字樓,2157 1473,2157 1487,pfm.pe@weave-living.com
H/3813,HONG KONG SHAOLIN WUSHU CULTURE CENTRE CHARITABLE FOUNDATION LIMITED,"Lot 189 in DD302 & STT CX 1697, Tai O,Lantau Island.",香港少林武術文化中心慈善基金有限公司,大嶼山大澳Lot 189 in DD302 & STT CX 1697,2985 8338,2517 0832,info@shaolincc.org.hk
H/3814,YU WAH GUEST HOUSE,"Flat 20A, 6/F, Wing Wah Building,14-24 Sai Yeung Choi Street South,Mong Kok, Kowloon.",裕華旅店,九龍旺角西洋菜南街14-24號榮華大樓6字樓20A室,2332 1431,,missfungmk@gmail.com
H/3816,HARBOURVIEW HORIZON ALL - SUITE HOTEL,"12 Hung Lok Road,Hung Hom, Kowloon.",海韻軒-海景酒店,九龍紅磡紅樂道12號,3165 8888,2129 0022,info@horizonhotels.com.hk
H/3817,HONG KONG SHAOLIN WUSHU CULTURE CENTRE CHARITABLE FOUNDATION LIMITED,"3 Shek Tsai Po Street,Tai O, Lantau Island.",香港少林武術文化中心慈善基金有限公司,大嶼山大澳石仔埗街3號,2985 8338,2517 0832,info@shaolincc.org.hk
H/3820,PAY-LESS GUEST HOUSE,"Flat A9, 7/F, Block A, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",百利賓館,九龍尖沙咀彌敦道40號重慶大廈A座7字樓A9室,9142 4288,,omguesthousehk@gmail.com
H/3821,TEMPO INN-COZY,"Flat C, 4/F, National Court,242 Nathan Road, Jordan, Kowloon.",樂棧－舒適館,九龍佐敦彌敦道242號立信大廈4字樓C室,6212 4550,,
H/3822,FU KEE HORIZON RESORT,"Flat E, G/F-2/F & Flat F, G/F-2/F,Block 11, Bela Vista Villa,DD CC 1491, Cheung Chau.",富記度假村,長洲長洲地段第1491號東堤小築第11座地下-2字樓E室、地下-2字樓F室,2981 0093,2981 0603,ccfukee@gmail.com
H/3825,HARBOURFRONT HORIZON ALL - SUITE HOTEL,"8 Hung Luen Road,Hung Hom Bay,Kowloon.",海灣軒-海景酒店,九龍紅磡灣紅鸞道8號,3690 8888,3698 0011,info@horizonhotels.com.hk
H/3826,SUN HING GUEST HOUSE,"G/F, 6C Ko Long Village,Yung Shue Wan, Lamma Island.",新興渡假屋,南丫島榕樹灣高塱村6C號地下,9777 1621,,
H/3828,WEAVE STUDIOS PRINCE EDWARD A,"8/F-10/F, 36 Boundary Street,Sham Shui Po, Kowloon.",WEAVE STUDIOS PRINCE EDWARD A,九龍深水界限街36號8-10字樓,2157 1473,2157 1487,pfm.pe@weave-living.com
H/3830,ASHOKA HOSTEL,"Flat A4, 13/F, Block A, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",ASHOKA HOSTEL,九龍尖沙咀彌敦道40號重慶大廈A座13字樓A4室,2311 2170,,
H/3832,WEAVE STUDIOS PRINCE EDWARD B,"11/F, 12/F, 15/F, 36 Boundary Street,Sham Shui Po, Kowloon.",WEAVE STUDIOS PRINCE EDWARD B,九龍深水界限街36號11字樓、12字樓、15字樓,2157 1473,2157 1487,pfm.pe@weave-living.com
H/3835,CEN YAT,"Flat G, 3/F, New Lucky House,15 Jordan Road, Jordan, Kowloon.",千悅旅業會社,九龍佐敦佐敦道15號華豐大廈3字樓G室,3107 9123,3107 9123,571813152@qq.com
H/3836,FOUR SEASONS PLACE HONG KONG,"8 Finance Street,Central, Hong Kong.",四季匯,香港中環金融街8號,3196 8888,3196 8899,
H/3837,WAH HIN,"1/F-2/F,33 Yung Shue Wan Main Street,Lamma Island.",華軒,南丫島榕樹灣大街33號1-2字樓,2982 1287,,
H/3840,STANLEY ORIENTAL HOTEL,"2/F-9/F, 90B Stanley Main Street,Stanley, Hong Kong.",STANLEY ORIENTAL HOTEL,香港赤柱赤柱大街90B號2-9字樓,2899 1688,2899 1699,
H/3842,KAI WAH HOSTEL,"Flat 1016, 10/F, Sincere House,83 Argyle Street,Mong Kok, Kowloon.",佳華賓館,九龍旺角亞皆老街83號先施大廈10字樓1016室,2393 9679,2309 2525,
H/3844,WEAVE STUDIOS PRINCE EDWARD C,"16/F, 36 Boundary Street,Sham Shui Po, Kowloon.",WEAVE STUDIOS PRINCE EDWARD C,九龍深水界限街36號16字樓,2157 1473,2157 1487,pfm.pe@weave-living.com
H/3845,FOUR SEASONS HOTEL HONG KONG,"8 Finance Street,Central, Hong Kong.",香港四季酒店,香港中環金融街8號,3196 8888,3196 8899,
H/3846,ONEROOM,"Flat 1304, 13/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",一房,九龍旺角亞皆老街83號先施大廈13字樓1304室,5627 9646,,oneroom.inn@gmail.com
H/3847,MIDO GUESTHOUSE,"Flat A, 7/F, Mido Apartments,330-332 King's Road, North Point,Hong Kong.",美都旅館,香港北角英皇道330-332號美都大廈7字樓A室,,,
H/3848,SIO ENTERPRISE,"Flat 714, 7/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",世奧企業,九龍旺角亞皆老街83號先施大廈7字樓714室,2395 0577,,
H/3854,DRAGON INN 1,"Flat B1, 3/F, Block B,  Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",龍匯旅舍 1,九龍尖沙咀彌敦道40號重慶大廈B座3字樓B1室,2368 2007,,dragoninn1988@gmail.com
H/3858,JOHNSON HOSTEL,"Flat 1117, 11/F, Sincere House,83 Argyle Street,Mong Kok, Kowloon.",中信賓館,九龍旺角亞皆老街83號先施大廈11字樓1117室,2381 2998,,
H/3862,NEW CHINA GUEST HOUSE 2,"Flat D7, 9/F, Block D, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",新中華賓館2,九龍尖沙咀彌敦道40號重慶大廈D座9字樓D7室,6486 5156,,
